,Review_Title,Reviews,Rating
13,Really Good product,"* It's my first ever truly wireless buds and the sound quality is very good. Bass quality is awesome.* Earbuds are really light in weight and easy to fit due to its ergonomic design and never falls off the ears.Though the case is bit on the heavier side but it's totally understandable as it carries 2600mAh battery.Rgb lighting and touch is very responsive* The instant wake n pair tech is really good within 2 secs of opening the case buds gets connected to the previously paired device.* I tried playing pubg and I didn't notice any latency , it was really fine.* While calling indoors the voice reaching is clear and crisp but as it has no noise cancellation for mic in outdoor condition or noisy environment will not be that good but still I'll say above avg performance.**** Battery🔋 review (after 2 weeks)Battery life is exactly what they have promised and I guess I got even more than that.I charged the case as soon as I got it and then didn't charge it for around 12 days and it's still working and on everyday basis I used the buds for 4-5 times .I used it for 5 hours continuously with 2-3 hrs of gaming and video streaming and still 30% was left.And if you use the buds at 55-60%(which I guess is the best because it's very loud) volume it will surely last for 6-6½ hrs.Buds gets charged very quickly I guess within 20-25 mins of putting them back into the case.The case takes around 1hr 15 mins or so to get fully charged.****** ONE THING I'LL LIKE TO ADD IS, I USED IT WITH MY MACBOOK AND I NOTICED THE VOLUME WAS EXTREMELY LOW BUT ON THE OTHER HAND IF USED WITH ANY MOBILE, IT'S VOLUME IS REALLY HIGH. SO I DON'T KNOW IF IT'S MACBOOK'S PROBLEM OR EARBUDS'S, BUT I DON'T MIND AND IF YOU'RE CONSIDERING BUYING THIS FOR USING WITH LAPTOPS I WOULD SUGGEST YOU TO CHECK THIS ISSUE WITH SOMEONE ELSE BUT IF YOU'RE GETTING FOR USING IT WITH PHONES THEN JUST GO FOR IT.",5.0 
14,Below expectation,"From the first look, they really looked very nice. I bought the red colour, and the red colour pops-up really nice.They Charging Case is also very nice looking.I wore them for a few minutes, and my ears started hurting.The fitting is going to be different for each user, depending on the size of their years and their comfort.Music lovers may not appreciate this, as it does not have enough bass.For people who would like to use it for official or personal calls, will feel that you will Sound robotic to the other person.There is also a delay in voice-over, which I think it’s not that bad.The noise cancellation is not there at all.These are much better than a few of similar products available in the market. However, it will be to each user to choose these based on their comfort level as well as their pocket.",1.0 
15,Built quality not as expected,Comfort 3/5Sound clarity 3/5Bass 2/5Battery 3/5,3.0 
16,Must buy if you are a basshead,"If you are a fan of bass like I am, hell, you are gonna love these airdopes. I have been using Boat products for a while and haven't gone unsatisfied even if I feel the durability of said products could have been more. Sometimes, one earbuds stop to work. Happened many times. I had a boat 225 and then a Boat 255 Pro. But they had got one thing in common -- BASS. I'm a basshead and Boat products are a sure shot recommend.Of late, I had been researching a lot of true wireless earbuds. I checked out several including Redmi Earbuds S, MI TWS Earbuds, Blaupunkt BTW-01, Realme Earbuds X TWS, and a few others. I settled, however, on Boat 441 Airdopes as I have built this trust factor with Boat products and am very skeptical of going to any other, especially Boat really offers their audio equipments at an affordable price. I watched a lot of reviews for these Airdopes and settled on it finally. I am usually a paranoid person, but I am glad to say that I am satisfied at the moment with what I have purchased.This is a 3-day usage review. I will edit this review as I pass the 1-month,  3-month and 6-month marks. On the basis of my usage, I will let you know why I recommend it.Let me talk about the Amazon delivery first. Contactless and on time delivery even in these pandemic times. So, salute to the delivery heroes who are functioning even in these risky and dangerous times. Salute boss!The box came with a charging case that had two earbuds inside it, an advertisement foldable pamphlet, a USB Type-C cable, an instruction manual and a plastic case of two extra earbuds and hooks.The earbuds were at 80% charge when it arrived, but I had it charged full as soon as I opened the case. At 100% audio volume, the airdopes have been lasting me about 3 hours and 45 minutes, which is decent for this price. The buds fit extremely well, except that they have fallen off a couple of time (but that maybe because of my ears). However, I have no complaints because I really think I didn't insert them into my ears fully and that's why they fell. Regardless, they are also comfortable and even after 3.5 hours, I haven't felt any discomfort or pain. So, all in all the quality of the earbuds (premium plastic) is awesome. I will give it a 4.5/5 for comfort and build quality.Note: After 20-days of usage, I have no complaint regarding the fit. Although they do seem to come out sometimes when your ears get too sweaty. So, moisture might cause them to come out. But it has only been a rare moment they did. I live in Mumbai, a humid city, and I haven't seen them come out a lot. But it did come out a couple of times during one workout.The charging case is premium quality too. It charges to full capacity in about two hours, which is good. It has a neat finish to it. I love the black on it and the red inside. Yes, I bought the Raging Red option. Boat only has black and red for now. More colors will be coming according to their Facebook page. However, I have always loved red.Inside the charging case, the earbuds have their own slots. Magnets are perfect.I wish the battery in both the earbuds lasted more than 4 hours but that's what they tell us in their features list. So, it gave me exactly that. It does its job, but I wish it had a 6 hour playback at least. But then for this price, maybe it is worth it. I think this is where Boat lacks. It provides a minimum playback compared to its competitors.Note: After 20 days of usage, I felt that the touch sensitivity could be better. The one-touch pause and play works for music player but doesn't work for Netflix and Prime and other apps. Which is weird. It starts music player again if song is in player queue. Maybe if I do a factory reset, it will be better. Will let you know regarding this. It might be a problem with mine alone because a few days ago, the touch sensitivity was awesome. Regardless, the sensitivity is still top-notch. I am finding the functionality confusing.Battery Life: 4/5Coming to calling, I think it did its job good. I could hear the other person's voice clearly. And I could hear him too. So I will give it a 4.5/5.Note: I'd not recommend this for calling but it does its job. Noise cancellation is decent.Lastly, I am coming to the best aspect of these airdopes. The Sound quality. Bass is just awesome. Trebles and mids  are decent. Vocals are good. I just enjoy listening to the songs on these airdopes. The beats are awesome. They are more or less similar to Boat 255 Pro Bluetooth, maybe even slightly better. So, sound quality, 5/5.Overall, I think this is the best true wireless buds you can find on a shoestring budget. Fit, quality, sound, noise cancellation, all good. Affordable too. So, I do recommend these airdopes if you are looking for something in the price range of 1.5k INR - 3.5k INR.Note: Boat Airdopes 441 and 451 are not much different. So, just the color.And ah yes, forgot, these airdopes have got IPx6 waterproofing. I haven't tested it as yet and don't want to risk it, but I gather that it will protect the buds from sweat and water droplets. :)Note: I am now 7 months into using this. The earphones still work with the same quality as received. However, there's a little glitch. Whenever the battery percentage drops by 10 or 20 per cent, it seems to disconnect. It reconnects automatically, but it can get annoying. Doesn't happen every time, but there's a frequency. Tried calling on these earphones as well. Good quality. Earphones run for at least 3.5 hours and a single battery charge for the case gives at least 3-4 charges. So, all in all, good.",5.0 
17,Worst experience with Boat 441 Airdopes. Feels cheated by the seller and Amazon for the first time.,I am really having such a bad experience using this Boat Airdopes 441 product. I ordered it on 10th June 2020. It's  28th and my left ear buds gets discharge in less than 10 minutes. I tried everything possible to cure the problem. I am not able to even factory reset it. The seller  has closed the window of return. It's my third Boat's product but I am having really tough time with this third one. I don't know what to do. Product is under 1 year warranty but does it worth having a product which cannot even work properly for 15-20 days.,1.0 
18,Good...,"Hi All,I have both 311 and 441, compare to both I feel 441 is compact.Cons* No battery indication.* If someone has big finger like me will feel hard to take out earpods.* Gets connect as soon as you open lid of box.Prons* Touch is really good* Not heavy and don't feel pain after using for 4 hours* bass is good but not good as 311.",4.0 
19,My first dopes 👌,"It’s my first AirdopesGot them for 2499/-As far as my observationPros1. Loudness is good not too much2. Call quality is ok3. Mono usage4. For one charge can use around 3 hrs with full volume5.No need of noise cancellation, literally we don’t here any outside noise unless it’s a train horn😜6. Serves the purpose like music movie calls no lag7. Charging cable USBCons1. Bit uncomfortable in longer hours2. No onboard volume control3. Touch sensitivity a bit slowOverall it’s perfect to me",4.0 
20,Boat airdrops 441...... really horrible and disappointing 😔😔,"I am really disappointed with boat airdrop441, really it's not more than 5 days I brought it ! And one of the airbud are not working properly and sound is not clear 😡😠 and it's really irritating me & making a buzz sound..... This is really horrible experience I had!!!!",1.0 
21,BEST AIRDOPES BY BOAT... GO FOR IT WITHOUT ANY SECOND THOUGHT,FIRST OF ALL THESE AIRDOPES ARE REALLY DOPE .. I HAVE BEEN USING THEM SINCE ONE MONTH AND HERE ARE MY HONEST REVIEWS ABOUT THEM IN SHORT..1] AS I AM A FITNESS GUY THESE AIR DOPES ARE PERFECT FOR GYM LOVERS..THE AIR FINS DO THEIR JOB PERFECTLY.. I DID SKIPPING RUNNING JUMPING EVERYTHING WITH THESE AND THEY DIDNT EVEN MOVED SLIGHTLY FROM THEIR PLACE.. THE LARGE FINS START TO GIVE PAIN AFTER 2 3 HRS OF USE..SO I CHANGED  THEM TO THE OTHER EXTRA MEDIUM EARFIN GIVEN IN BOX..SO THAT PROBLEM IS SOLVED AS PER UR EAR FITS..FIT -- 4.8/5COMFORT -- 4.5/52] THEY HAVE A AWSUM BASS.. SO BASS HEADS WILL DEFINITELY LOVE THEM.. ALSO THE TREB MIDS ARE GOODBASS -- 4.9/5MID/HIGH/TREB -- 4.5/53]THE CAPACATIVE TOUCH CONTROLS ARE GOOD .. JUST A SEC DELAY IS SEEN WHEN U TOUCH THEM AND FOR ACTUAL ACTION TO BE PERFORMED ..BUT THEY DO WORK WITH PERFECTION EVEN THEY HAVE SWEAT OR WATER ON THEM..TOUCH -- 4.5/54] TALKING ABOUT DURABILITY THEN I HAVE SAT ON THE EARDOPES MANY TIMES BY MISTAKE AND FELL FROM MY HANDS TOO.. ALSO THE CASE WAS FALLED COUPLE OF TIMES.. BUT NOT A SINGLE PROBLEM..DURABILITY -- 4.8/55] ABOUT THE CONNECTIVITY I WULD SAY ITS GOOD.. IF THERE IS NO OBSTACLE IN BETWEEN IN A ROOM THEN THE RANGE IS MORE THAN 15m... OR ELSE IT WILL START TO BREAK IF A WALL OR SOMETHING BIG COMES IN BETWEEN WHEN U GO TO OTHER ROOM OR FLOOR..CONNECTIVITY -- 4.5/56] IPX  DOES ITS WORK PERFECTLY.. I USED THEM IN SLIGHT RAINFALL.. IT WORKS PERFECTLY..IPX -- 4.8/57] BATTERY PERFORMANCE IS GOOD.. THE CASE CHARGERS THE EARBUDS 3 TO 4 TIMES..AND IT TAKES 1.3 HRS TO CHARGE COMPLETELY FOR CASE AND 1 HR FOR BUDS..AND THE BUDS PLAY UPTO 4 HRS ON 90% VOLUME..BATTERY -- 4.6/58] NOISE CANCELLATION IS DECENT... NOT BEST BUT WORKS FOR ME.. ALSO THE CALLING EXPERIENCE WAS GOOD.. VOICE IS CLEAR TO THE OTHER PERSON EVEN IN MILD TRAFFIC.. SO CALLING IS GOOD..NOISE CANCELLATION -- 3.5/5CALLING -- 4.5/5OVERALL THESE EARDOPES ARE GREAT .. IF U GET THEM IN PRICE RANGE OF 2000 TO 2500 .. GO WITHOUT A SEC THOUGHT.. HOPE U GUYS FIND THIS REVIEW USEFULL..,5.0 
22,Wrong information,In the picture it shows the boat symbol on airdopes but On my airdopes it is written boat I don’t have an idea about it. The photo doesn’t relate the product. This is an illegal offence of cheating.,3.0 
23,Weird sound coming from left airdopes for every input. Uneasy to use,Some Weird Sound coming from left airdope for every small input which makes uneasy to use it. Also observed that some more time taken to charge and drains fast left side airdopes. Seems faulty peace. After waited for so many days to get delivery I got faulty peace. I am very much disappointed,1.0 
24,Customer service of BoAt sucks. I'm highly frustrated now.,"I'm writing this one, as a follow up to my previous review/feedback.After around 2-3 months of following up with the boat customer service and after the complaint with the National Consumer forum I received the replacement for my original faulty product.Having said that, firstly the replaced product was not same in color and secondly this one was faulty too where the touch pad of the right earpod was not working.😠 Again being frustrated I raised another complaint with Boat. This time it took at least 3 weeks of time(which is okay with me as compared to the delay experience i had earlier) to get this faulty product replaced.Finally, I was happy with this 2nd time replaced product, everything in this one seemed perfect. But it has been just 15 days since I received the airdopes and now I find that the right ones battery gets exhausted within 15-20 mins after a full charge whereas the left one with the same amount of charge can run for more than an hour.I don't know what's wrong with this product or what's wrong with the Boat guys. This is literally frustrating for any customer. After replacing 2 times and waiting to receive a good product for more than 4 months of purchasing it still I'm hankering for it.All I wanted is to let you all know my experience with these airdopes. Now i literally realize that I wouldn't have purchased this product at all. I should have gone for some wired earphones which is far better than these or would have gone for some other company. I'm being cheated by Boat again and again.Customer service sucks... Neither they test a faulty product properly nor they test the one sending as a replacement. Then my question is why are they sitting over there?? Why they take so much of time to get us the replacement???",1.0 
25,STATIC NOISE ISSUE,"Boat airdopes 441 pro model is having an issue in left earbud i.e. static noise issue ,I had this problem with my set so I returned it later I came to know that this problem is there for many others who brought this product,it is better if they solve the issue and re release the product,over all quality is excellent and the features are awesome,if anyone brought this and having same problem just return it because at first static noise is very low but in future gradually it will increase and irritate ,my previous earbuds of other company had same problem and I thought nothing will happen with that small noise later gradually it started to increase and it is irritating.",2.0 
26,Please avoid buying this!,"Please avoid buying this as there is a constant hissing sound in the left airdope. Though it worked perfectly for the initial 2-3 days, the sound once developed is only becoming worse every passing day. Also, many other buyers too have pointed out the same issue, so I guess its a manufacturing fault.",1.0 
27,Static noise,There is a static noise in left ear bud.,1.0 
28,One of  AirDopes stopped working,"Look wise product is good ,but the quality of product is seems to be compromised by boat,Product which i was delivered has very low quality case, I fear just by using two days that is it going to be in one piece for month or two?Now let's come to product it self ""AirDopes""I used it for three days and the sound quality is good as compare to price and specs given by boatMajor drawback of product is its design it's feel heavy /bulky in ears after wear it for 10 mnt you can feel itching in your ears... Not so comfortable at allAfter three days of purchase One of ear bud stopped working and can't be diagnosed with hard/factory reset...Now there is no refund for this product... I'll have to stick with this product though replacement of same is under process.",1.0 
29,Issues with mic and connectivity,"I was expecting something decent in the price bracket of 2.5k but the product lack basic features such as good noise cancellation and multi-device connectivity. Yes, the mic is worse the other person will hear a hissing sound while on call, I tested this multiple times the mic is really bad.Another issue is you cannot connect it to multiple devices, only 1 device will be connected at a time, now imagine you have airdopes connected to the laptop and if you want to receive a call, you will have to reconnect the boat airdopes to the phone.And On Top of this, there is no refund available on a replacement.",1.0 
30,Worth every penny,"The product is great in terms of build quality,sound and noise cancellation.Even the touch response is excellent so you don't have to pull your smartphone each time to change a song.About the battery it's pretty much good as it last for about 3-4 hours of continuous usage.The major feature is the bluetooth connectivity where you need not wait for pairing each time ,once BT switched on it automatically connects.!!!Just order without any hesitation and you will realise the value for money of this product",5.0 
31,Extremely poor mic call quality.,Built quality is excellent. Sound quality is also good but the inbuilt mic receipting quality is extremely poor. Opposite person can't hear my voice clearly. He said too much echo and hissing sound us coming.Amazon please return my money taking back this product. Please cooperate.,1.0 
32,Worthless,True reviewPros:They look pretty good with nice build qualityGood baseGood microphoneDecent batteryCons:They really hurt alot in ears beacuse they have a really annoying adjustabilityThey miss out tracks in betweenJust don’t buy them waste of money instead try realme wireless earphones or oneplus bullets z which cost much less and are really better than these.,1.0 
33,It's Made in China. And they obviously don't want to tell you.,"1st thing is 1st.Amazon and the seller could have mentioned easily  mentioned that it's made in china and complied with govt. Guidelines but they didn't.It says Made in P.R.C. that's ""People's Republic of China""I feel cheated, because if I would have know I wouldn't have bought it. Boat being a Indian brand, is manufacturing from China.The product is just ok. Not bad.(I am assuming Amazon will not put this review, let's see)",3.0 
34,Average quality sound. Ordered replacement since product had issues in 2 days,"I ordered them on 27 June and received them on 28th.. they looked very nice .. but I wasn’t much happy with the sound quality .. on a full volume also I felt that volume is around 70%.. but since the product is replaceable only and not returnable, I thought of adjusting with the sound quality..But just within 2 days of usage it started creating problem.. the left earbud started disconnecting automatically while using and would not play any sound.. though the capacitive touch was working but no sound.. tried various ways - switching off and on again, disconnecting Bluetooth and connecting again, restarting the phone, resetting airdopes to factory settings but same problem continued.. it would play sound for some time and suddenly no sound and it happened only in the left earbudHave raised a replacement request and the product got picked up today -1st July,. Will update the comments once I get the new piece..",1.0 
35,Not worth of Procduct,"One month back purchased , now charging box not working .Quality of charging case box not good",1.0 
36,"Really super . Good bass and sound quality , very light weight and perfect fit in ears","Really amazing . Sound effects is really amazing .+ve1. Good and excellent sound quality with very good bass effect .2. Amazing battery backup . First time i saw a ear buds with such a massive battery backup.3. Very light weight , that not mean it may come out of ears . It was well fit and it wont fall out . Really gets a Perfect fit into ears . Since it is very light weight we can easily listen to music or movie for long hours no pain at all .4.  Connectivity . Omg i was quiet amazed with the connectivity , First time i can see a ear buds connect soo quick and easy . Pairing is very simple and fast . It has an option , when we took out the ear buds its automatically connects to the previously connected device and it works great .Blindly go for it . U wont regreat.Negative : wont find much .",5.0 
37,Good but has problems,The earphones are good. Only problems are that it pains after one hour of use. Can't hear outside noise. Noise cancellation is not good. Capacitive button is cuts call and plays and pauses music while handling. Buttons are much better. Too much disco lights.Rest everything is good.,3.0 
38,Good for music lover and very bad for calling,Music quality is average but the calling quality is very bad. Lot of noise is creating on the receiver side.  Not easily audible on receiver end.  Voice is not clear during calling.  Very bad product for calling. I want to return the product.,1.0 
39,Left earbud noise,"Bought the boat blue airdopes. Used it for 2days and it was working fine. But on the third day the connectivity started getting distorted even in the next room even with bending and moving. That was very disappointing. Also there was a constant tr tr tr.. noise in the left ear bud which is very low but it is noticeable. This noise only comes when the music is on. When the media stops playing the noise also stops. The voice calling is extremely poor. The person on the line will get a lot of background noise and the voice gets cracked, it was a very bad experience. So it is only suitable for listening to media. Ordered replacement. Hope the problem does not persist in the replaced model too.UPDATE : Got the replacement. The left bud noise is still there. It is lower than the previous pair. It seems like the problem persists in all products of this model. Think just have to ignore the noise.",1.0 
40,its pretty good,"The good:+ Connection is alright+ Build quality+ Touch controls+ Sound quality is also not bad+ Battery life+ Battery bank feature and type c charging are very welcomeThe bad:- THERE IS A CONSTANT STATIC IN THE LEFT EARBUD, its not noticeable when anything is playing but as soon as you pause audio its right there. Tolerable, but annoying.- Too big for small ear- Design makes it so the wings can irritate the inside of your ears if you're moving around.- Way too much bass, balanced sound is out of the window.",3.0 
41,Static noise,"Static hiss in the left earpiece when connected to device but no music is being played. Must be some manufacturing defect in the batch because the same problem arose in the replaced product. Other than for  this reason its a great product, good looks ,comfortable and nice sound.Have been using boat products for a while now so a little disappointed with this product.*many wont even mind the hiss,but its annoying once you notice it.** 5 stars for Amazon for quick delivery ,replacement and customer service.",1.0 
42,First buy review,"Recieved in two days after launch (priced 2500 during prime day launch, may jncreased upto 3499 later). Impressed with first look. Initially I was too confused in chosing earbud. From xiomi to  crossbeats to sony, I planned for everything. Unfortunately all had negative n positive reviews. So went for a fresh product and writing the review after 1 hr of use.Sound n music quality is good. Built is premium. 2600 mah case, type C charging is best. Ipx7 is added in pro.I bought it for calling purpose and I tested indoor n no one could differentiate that I was calling from earbud. So thumbs up.Hopefully in long run the review holds true!",5.0 
43,For deep bass lovers a perfect earbud,I had literally tried 5 Bluetooth earbuds before buying it and finally my search ends here. I am a deep bass lover and it has not disappointed me at all. Call quality is not good. If u want to buy it for frequent calls don't go for it. But if u can compromise on calling it is the best earbud....beleive me i had bought earbuds upto 5k....it is best in all of them!!,4.0 
44,Voice cancellation works in reverse order,"If you are looking for calls please don’t buy this product, the voice cancellation is pathetic. It reduces your voice and increases background voice the other person can’t hear you at all.If you are looking only to hear music and video then you may buy this product.",1.0 
45,Defective piece. - Buzzing sound from left earpirce. - Again after replacement.,"Got the product on 3rd Oct and by looking at the previous negative comments, there seems to be a quality issue with this specific model where there is a static buzzing sound coming from the left earpiece.>have tried different phones/tablet/pc - its happening on all of the device even after performing a factory reset of the earphones.Hope the replacement works fine.Edit:Got the replacement earpiece today and the issue is still there on the left earpiece so matter which device i connect to.Went thru other 1 star review and it looks like many people are facing the same issue with their product.seems to be a manufacturing defect.Returned it for refund.Avoid buying boAt products online and if u really have to, get it offline before testing it on the spot!",1.0 
46,Awesome earbuds,"Just bought this boat 441 two days back. Here are my initial impressions after using for two days.So i am not an audiophile or something, but used pretty decent earphones from boat, sennheiser, samsung, sony, philips, mi, mivi etc. So after some research, i settled for this as it is not too much expensive. I did not opt for fast delivery, still amazon delivered within 2 days. Packaging was good and product was nicely sealed. Little surprised to see that the box was so small. It is funny that on the box very tactfully written made in P.R.C. The capsule shaped charging case is small, light weight, very much pocketable, and sturdy because of the build quality and doesn't feel cheap or flimsy. There is a led indicator defines charging status. Its nice to have a c-type port as it is future safe because nowadays almost every smartphones comes with c-type port. This comes in vibrant colours and i purchased the blue one. The buds are light weight and feels sturdy in hand. However, the fit was not good for me so i changed the shark fin rubber with the smaller one given in the box, also changed the ear tips to the smallest one given and now it fits perfectly to my ears. Well, fit is subjective, so i guess you should also play around with the extras to see which one fits you perfectly. The grip is really nice as i use it while brisk walking and doing little exercises and it never fall from my ears. Some users says there is some static noise problem but i didn't have this problem as of now. The touch sensitivity is pretty good and accurate, however, there can be accidental touch sometimes when trying to adjust the earbuds. I guess with time you will get to used to this thing. Now coming to the sound quality, it is definitely bass heavy with good trebles and vocals. The bass is not muddy but punchy, and didn't hurt my ears. Highs, lows and mids are clear. The sound signature is pretty good. Didn't noticed any latency during media consumptions, but can't comment about gaming latency as im a non-gamer. Volume can go very high, connection with my smartphone is quite fast and stable, range is pretty good. Didn't went outdoor, but indoor calling was good and the other party never realised i was on BT earphone. Once right side earbud stopped after i took it out of the box for a long time without connecting to the phone, but then i just put them back at the box and closed the lid and then after opening everything was working fine again. Can't judge the battery life as i am just using it for 2 days, but the buds charges pretty fast.Cons: Couldn't find any till now, and hope i won't be able to find any in near future.I hope my experience helps you decide whether to go for this earbuds on not. Thanks.",5.0 
47,Please view,It disconnects very often....its very disturbing while playing games or attending a call....had a great experience with boat....but this time i was surprisingly very dissapointed...sound quality is good but 😢😢,1.0 
